启动成功2017/11/13 14:16:00执行JOB一次
发生异常页: http://localhost:12345/MyExcels/WFExcelList.aspx
异常信息: 对象名 'ExcelData.dbo.TB_EXCEL' 无效。2017/11/13 14:17:00执行JOB一次
2017/11/13 14:18:00执行JOB一次
2017/11/13 14:19:00执行JOB一次
2017/11/13 14:20:00执行JOB一次
2017/11/13 14:21:00执行JOB一次
2017/11/13 14:22:00执行JOB一次
2017/11/13 14:23:00执行JOB一次
2017/11/13 14:24:00执行JOB一次
2017/11/13 14:25:00执行JOB一次
启动成功2017/11/13 14:41:00执行JOB一次
2017/11/13 14:42:00执行JOB一次
2017/11/13 14:43:00执行JOB一次
2017/11/13 14:44:00执行JOB一次
2017/11/13 14:45:00执行JOB一次
2017/11/13 14:46:00执行JOB一次
2017/11/13 14:47:00执行JOB一次
2017/11/13 14:48:00执行JOB一次
启动成功2017/11/13 21:23:00执行JOB一次
2017/11/13 21:24:00执行JOB一次
2017/11/13 21:25:00执行JOB一次
2017/11/13 21:26:00执行JOB一次
2017/11/13 21:27:00执行JOB一次
2017/11/13 21:28:00执行JOB一次
2017/11/13 21:29:00执行JOB一次
2017/11/13 21:30:00执行JOB一次
2017/11/13 21:31:00执行JOB一次
2017/11/13 21:32:00执行JOB一次
2017/11/13 21:33:00执行JOB一次
2017/11/13 21:34:00执行JOB一次
启动成功2017/11/13 21:53:00执行JOB一次
2017/11/13 21:54:00执行JOB一次
启动成功2017/11/13 22:11:00执行JOB一次
2017/11/13 22:12:00执行JOB一次
2017/11/13 22:13:00执行JOB一次
发生异常页: http://localhost:12345/JXC/WFPOAssess.ASPX
异常信息: 无法找到列 4。2017/11/13 22:14:00执行JOB一次
2017/11/13 22:15:00执行JOB一次
2017/11/13 22:16:00执行JOB一次
2017/11/13 22:17:00执行JOB一次
2017/11/13 22:18:00执行JOB一次
2017/11/13 22:19:00执行JOB一次
2017/11/13 22:20:00执行JOB一次
2017/11/13 22:21:00执行JOB一次
2017/11/13 22:22:00执行JOB一次
2017/11/13 22:23:00执行JOB一次
2017/11/13 22:24:00执行JOB一次
2017/11/13 22:25:00执行JOB一次
2017/11/13 22:26:00执行JOB一次
2017/11/13 22:27:00执行JOB一次
2017/11/13 22:28:00执行JOB一次
2017/11/13 22:29:00执行JOB一次
2017/11/13 22:30:00执行JOB一次
2017/11/13 22:31:00执行JOB一次
2017/11/13 22:32:00执行JOB一次
2017/11/13 22:33:00执行JOB一次
2017/11/13 22:34:00执行JOB一次
2017/11/13 22:35:00执行JOB一次
2017/11/13 22:36:00执行JOB一次
2017/11/13 22:37:00执行JOB一次
2017/11/13 22:38:00执行JOB一次
2017/11/13 22:39:00执行JOB一次
2017/11/13 22:40:00执行JOB一次
2017/11/13 22:41:00执行JOB一次
2017/11/13 22:42:00执行JOB一次
2017/11/13 22:43:00执行JOB一次
启动成功2017/11/13 22:44:00执行JOB一次
2017/11/13 22:45:00执行JOB一次
2017/11/13 22:46:00执行JOB一次
2017/11/13 22:47:00执行JOB一次
2017/11/13 22:48:00执行JOB一次
