启动成功2018/7/7 20:47:00执行JOB一次
启动成功2018/7/7 20:49:00执行JOB一次
2018/7/7 20:50:00执行JOB一次
2018/7/7 20:51:00执行JOB一次
2018/7/7 20:52:00执行JOB一次
2018/7/7 20:53:00执行JOB一次
2018/7/7 20:54:00执行JOB一次
2018/7/7 20:58:36执行JOB一次
2018/7/7 20:59:00执行JOB一次
2018/7/7 21:00:00执行JOB一次
2018/7/7 21:01:00执行JOB一次
2018/7/7 21:02:06执行JOB一次
2018/7/7 21:03:00执行JOB一次
2018/7/7 21:04:00执行JOB一次
启动成功2018/7/7 21:06:00执行JOB一次
2018/7/7 21:07:00执行JOB一次
2018/7/7 21:08:04执行JOB一次
启动成功2018/7/7 21:13:00执行JOB一次
2018/7/7 21:14:00执行JOB一次
2018/7/7 21:15:00执行JOB一次
2018/7/7 21:16:00执行JOB一次
2018/7/7 21:17:00执行JOB一次
2018/7/7 21:18:00执行JOB一次
2018/7/7 21:19:00执行JOB一次
2018/7/7 21:20:00执行JOB一次
2018/7/7 21:21:00执行JOB一次
启动成功2018/7/7 21:22:01执行JOB一次
2018/7/7 21:23:00执行JOB一次
启动成功2018/7/7 21:25:00执行JOB一次
2018/7/7 21:26:00执行JOB一次
2018/7/7 21:27:00执行JOB一次
2018/7/7 21:28:06执行JOB一次
发生异常页: http://localhost:12345/JXC/NEW_JXC_REPORTTotalList.aspx
异常信息: 查询处理器用尽了内部资源，无法生成查询计划。这种情况很少出现，只有在查询极其复杂或引用了大量表或分区时才会出现。请简化查询。如果您认为该消息的出现纯属错误，请与客户支持服务部门联系，了解详细信息。2018/7/7 21:29:00执行JOB一次
2018/7/7 21:30:00执行JOB一次
2018/7/7 21:31:00执行JOB一次
2018/7/7 21:32:00执行JOB一次
2018/7/7 21:33:00执行JOB一次
2018/7/7 21:34:00执行JOB一次
2018/7/7 21:35:00执行JOB一次
启动成功2018/7/7 21:37:00执行JOB一次
2018/7/7 21:38:00执行JOB一次
2018/7/7 21:39:00执行JOB一次
2018/7/7 21:40:00执行JOB一次
2018/7/7 21:41:00执行JOB一次
启动成功2018/7/7 21:43:00执行JOB一次
启动成功2018/7/7 21:46:00执行JOB一次
2018/7/7 21:47:00执行JOB一次
2018/7/7 21:48:00执行JOB一次
2018/7/7 21:49:00执行JOB一次
启动成功2018/7/7 22:00:00执行JOB一次
2018/7/7 22:01:00执行JOB一次
2018/7/7 22:02:00执行JOB一次
2018/7/7 22:03:00执行JOB一次
2018/7/7 22:04:00执行JOB一次
启动成功2018/7/7 22:06:00执行JOB一次
2018/7/7 22:07:00执行JOB一次
启动成功2018/7/7 22:27:01执行JOB一次
2018/7/7 22:28:00执行JOB一次
2018/7/7 22:29:00执行JOB一次
2018/7/7 22:30:00执行JOB一次
2018/7/7 22:31:00执行JOB一次
2018/7/7 22:32:00执行JOB一次
2018/7/7 22:33:00执行JOB一次
2018/7/7 22:34:00执行JOB一次
2018/7/7 22:35:00执行JOB一次
2018/7/7 22:36:00执行JOB一次
2018/7/7 22:37:00执行JOB一次
2018/7/7 22:38:00执行JOB一次
2018/7/7 22:39:00执行JOB一次
2018/7/7 22:40:00执行JOB一次
2018/7/7 22:41:00执行JOB一次
2018/7/7 22:42:00执行JOB一次
2018/7/7 22:43:00执行JOB一次
2018/7/7 22:44:00执行JOB一次
2018/7/7 22:45:00执行JOB一次
2018/7/7 22:46:00执行JOB一次
2018/7/7 22:47:00执行JOB一次
2018/7/7 22:48:00执行JOB一次
2018/7/7 22:49:00执行JOB一次
2018/7/7 22:50:00执行JOB一次
2018/7/7 22:51:00执行JOB一次
2018/7/7 22:52:00执行JOB一次
2018/7/7 22:53:00执行JOB一次
2018/7/7 22:54:00执行JOB一次
2018/7/7 22:55:00执行JOB一次
2018/7/7 22:56:00执行JOB一次
2018/7/7 22:57:00执行JOB一次
2018/7/7 22:58:00执行JOB一次
2018/7/7 22:59:00执行JOB一次
