启动成功2018/4/14 9:32:00执行JOB一次
2018/4/14 9:33:00执行JOB一次
2018/4/14 9:34:00执行JOB一次
启动成功2018/4/14 9:36:00执行JOB一次
2018/4/14 9:37:00执行JOB一次
2018/4/14 9:38:00执行JOB一次
2018/4/14 9:39:00执行JOB一次
2018/4/14 9:40:00执行JOB一次
2018/4/14 9:41:00执行JOB一次
2018/4/14 9:42:00执行JOB一次
2018/4/14 9:43:00执行JOB一次
2018/4/14 9:44:00执行JOB一次
2018/4/14 9:45:00执行JOB一次
2018/4/14 9:46:00执行JOB一次
2018/4/14 9:47:00执行JOB一次
2018/4/14 9:48:00执行JOB一次
启动成功2018/4/14 9:53:00执行JOB一次
2018/4/14 9:54:00执行JOB一次
2018/4/14 9:55:00执行JOB一次
2018/4/14 9:56:00执行JOB一次
2018/4/14 9:57:00执行JOB一次
2018/4/14 9:58:00执行JOB一次
启动成功2018/4/14 10:00:00执行JOB一次
启动成功2018/4/14 10:01:00执行JOB一次
2018/4/14 10:02:00执行JOB一次
2018/4/14 10:03:00执行JOB一次
2018/4/14 10:04:00执行JOB一次
2018/4/14 10:05:00执行JOB一次
2018/4/14 10:06:00执行JOB一次
2018/4/14 10:07:00执行JOB一次
2018/4/14 10:08:00执行JOB一次
2018/4/14 10:09:00执行JOB一次
启动成功发生异常页: http://localhost:12345/ReportForms/BreakRulesCar.aspx
异常信息: 未将对象引用设置到对象的实例。启动成功2018/4/14 10:12:00执行JOB一次
2018/4/14 10:13:00执行JOB一次
2018/4/14 10:14:00执行JOB一次
2018/4/14 10:15:00执行JOB一次
启动成功2018/4/14 10:17:00执行JOB一次
2018/4/14 10:18:00执行JOB一次
2018/4/14 10:19:00执行JOB一次
