启动成功2017/10/21 9:40:01执行JOB一次
启动成功启动成功2017/10/21 10:27:00执行JOB一次
2017/10/21 10:28:01执行JOB一次
启动成功2017/10/21 10:29:00执行JOB一次
2017/10/21 10:30:00执行JOB一次
2017/10/21 10:31:00执行JOB一次
启动成功2017/10/21 10:33:00执行JOB一次
2017/10/21 10:34:00执行JOB一次
2017/10/21 10:35:00执行JOB一次
2017/10/21 10:36:00执行JOB一次
2017/10/21 10:37:00执行JOB一次
2017/10/21 10:38:00执行JOB一次
2017/10/21 10:39:00执行JOB一次
2017/10/21 10:40:00执行JOB一次
2017/10/21 10:41:00执行JOB一次
2017/10/21 10:42:00执行JOB一次
2017/10/21 10:43:00执行JOB一次
2017/10/21 10:44:00执行JOB一次
2017/10/21 10:45:00执行JOB一次
2017/10/21 10:46:00执行JOB一次
2017/10/21 10:47:00执行JOB一次
2017/10/21 10:48:00执行JOB一次
2017/10/21 10:49:00执行JOB一次
2017/10/21 10:50:00执行JOB一次
2017/10/21 10:51:00执行JOB一次
2017/10/21 10:52:00执行JOB一次
2017/10/21 10:53:00执行JOB一次
2017/10/21 10:54:00执行JOB一次
2017/10/21 10:55:00执行JOB一次
2017/10/21 10:56:00执行JOB一次
2017/10/21 10:57:00执行JOB一次
2017/10/21 10:58:00执行JOB一次
2017/10/21 10:59:00执行JOB一次
2017/10/21 11:00:00执行JOB一次
2017/10/21 11:01:00执行JOB一次
2017/10/21 11:02:00执行JOB一次
2017/10/21 11:03:00执行JOB一次
2017/10/21 18:24:29执行JOB一次
2017/10/21 18:25:01执行JOB一次
2017/10/21 18:26:00执行JOB一次
2017/10/21 18:27:00执行JOB一次
2017/10/21 18:28:00执行JOB一次
启动成功2017/10/21 19:32:02执行JOB一次
2017/10/21 19:33:00执行JOB一次
2017/10/21 19:34:00执行JOB一次
启动成功2017/10/21 19:35:00执行JOB一次
2017/10/21 19:36:00执行JOB一次
2017/10/21 19:37:00执行JOB一次
2017/10/21 19:38:00执行JOB一次
2017/10/21 19:39:00执行JOB一次
启动成功2017/10/21 19:57:00执行JOB一次
2017/10/21 19:58:00执行JOB一次
发生异常页: http://localhost:12345/EFrom/MyAEEForms.aspx
异常信息: 列名 'proId' 不明确。
列名 'proId' 不明确。
列名 'proId' 不明确。2017/10/21 19:59:00执行JOB一次
发生异常页: http://localhost:12345/EFrom/MyAEEForms.aspx
异常信息: 列名 'proId' 不明确。
列名 'proId' 不明确。
