启动成功2018/6/11 17:31:00执行JOB一次
2018/6/11 17:32:00执行JOB一次
2018/6/11 17:33:00执行JOB一次
2018/6/11 17:34:00执行JOB一次
2018/6/11 17:35:00执行JOB一次
2018/6/11 17:36:00执行JOB一次
2018/6/11 17:37:00执行JOB一次
发生异常页: http://localhost:12345/EFrom/WFToInvoice.aspx?ProId=27&allE_id=18961&EForm_Id=217225
异常信息: 对象名 'KingdeeInvoice.dbo.Invoice' 无效。2018/6/11 17:38:00执行JOB一次
2018/6/11 17:39:00执行JOB一次
2018/6/11 17:40:00执行JOB一次
2018/6/11 17:41:00执行JOB一次
2018/6/11 17:42:00执行JOB一次
2018/6/11 17:43:00执行JOB一次
2018/6/11 17:44:00执行JOB一次
2018/6/11 17:45:09执行JOB一次
2018/6/11 17:46:03执行JOB一次
2018/6/11 17:47:00执行JOB一次
2018/6/11 17:48:00执行JOB一次
2018/6/11 17:49:00执行JOB一次
2018/6/11 17:53:47执行JOB一次
2018/6/11 17:53:50执行JOB一次
2018/6/11 17:54:05执行JOB一次
2018/6/11 17:55:00执行JOB一次
2018/6/11 17:56:00执行JOB一次
2018/6/11 17:57:00执行JOB一次
2018/6/11 17:58:00执行JOB一次
2018/6/11 17:59:00执行JOB一次
2018/6/11 18:00:00执行JOB一次
2018/6/11 18:01:00执行JOB一次
2018/6/11 18:02:00执行JOB一次
2018/6/11 18:03:00执行JOB一次
2018/6/11 18:04:00执行JOB一次
2018/6/11 18:05:00执行JOB一次
2018/6/11 18:06:00执行JOB一次
2018/6/11 18:07:00执行JOB一次
2018/6/11 18:08:00执行JOB一次
2018/6/11 18:09:00执行JOB一次
2018/6/11 18:10:00执行JOB一次
2018/6/11 18:11:00执行JOB一次
2018/6/11 18:12:00执行JOB一次
2018/6/11 18:13:00执行JOB一次
2018/6/11 18:14:01执行JOB一次
发生异常页: http://localhost:12345/JXC/WFSupplierInvoiceVerify.aspx?ProId=33&allE_id=20566&EForm_Id=217202
异常信息: 列名 'FristFPNo' 无效。
列名 'SecondFPNo' 无效。2018/6/11 18:15:00执行JOB一次
2018/6/11 18:16:00执行JOB一次
2018/6/11 18:17:00执行JOB一次
2018/6/11 18:18:00执行JOB一次
2018/6/11 18:19:00执行JOB一次
2018/6/11 18:20:00执行JOB一次
2018/6/11 18:21:00执行JOB一次
2018/6/11 18:22:00执行JOB一次
2018/6/11 18:23:18执行JOB一次
2018/6/11 18:24:00执行JOB一次
2018/6/11 18:25:00执行JOB一次
