启动成功2017/10/10 14:25:00执行JOB一次
2017/10/10 14:26:00执行JOB一次
2017/10/10 14:27:00执行JOB一次
2017/10/10 14:28:00执行JOB一次
2017/10/10 14:29:00执行JOB一次
2017/10/10 14:30:00执行JOB一次
发生异常页: http://localhost:12345/BaseInfo/WFPetitionsList.aspx
异常信息: 列名 'Contract_Type' 无效。启动成功2017/10/10 14:32:00执行JOB一次
2017/10/10 14:33:00执行JOB一次
2017/10/10 14:34:28执行JOB一次
启动成功2017/10/10 14:36:09执行JOB一次
2017/10/10 14:37:13执行JOB一次
启动成功2017/10/10 14:39:02执行JOB一次
启动成功2017/10/10 14:41:00执行JOB一次
启动成功2017/10/10 14:43:00执行JOB一次
启动成功2017/10/10 14:47:00执行JOB一次
2017/10/10 14:48:00执行JOB一次
2017/10/10 14:49:00执行JOB一次
2017/10/10 14:50:00执行JOB一次
2017/10/10 14:51:00执行JOB一次
2017/10/10 14:52:00执行JOB一次
启动成功2017/10/10 16:44:00执行JOB一次
2017/10/10 16:45:00执行JOB一次
2017/10/10 16:46:00执行JOB一次
2017/10/10 16:47:00执行JOB一次
2017/10/10 16:48:00执行JOB一次
2017/10/10 16:49:00执行JOB一次
2017/10/10 16:50:00执行JOB一次
2017/10/10 16:51:00执行JOB一次
2017/10/10 16:52:00执行JOB一次
2017/10/10 16:53:00执行JOB一次
2017/10/10 16:54:00执行JOB一次
2017/10/10 16:55:00执行JOB一次
2017/10/10 16:56:00执行JOB一次
2017/10/10 16:57:00执行JOB一次
2017/10/10 16:58:00执行JOB一次
2017/10/10 16:59:00执行JOB一次
2017/10/10 17:00:00执行JOB一次
2017/10/10 17:01:00执行JOB一次
2017/10/10 17:02:00执行JOB一次
2017/10/10 17:03:00执行JOB一次
2017/10/10 17:04:00执行JOB一次
2017/10/10 17:05:05执行JOB一次
2017/10/10 17:06:00执行JOB一次
2017/10/10 17:07:00执行JOB一次
2017/10/10 17:08:00执行JOB一次
2017/10/10 17:09:05执行JOB一次
2017/10/10 17:10:00执行JOB一次
2017/10/10 17:11:00执行JOB一次
2017/10/10 17:12:00执行JOB一次
2017/10/10 17:13:00执行JOB一次
2017/10/10 17:14:00执行JOB一次
2017/10/10 17:15:00执行JOB一次
2017/10/10 17:16:00执行JOB一次
2017/10/10 17:17:00执行JOB一次
2017/10/10 17:18:00执行JOB一次
2017/10/10 17:19:00执行JOB一次
2017/10/10 17:20:00执行JOB一次
2017/10/10 17:21:00执行JOB一次
2017/10/10 17:22:00执行JOB一次
2017/10/10 17:23:00执行JOB一次
2017/10/10 17:24:00执行JOB一次
2017/10/10 17:25:00执行JOB一次
2017/10/10 17:26:00执行JOB一次
2017/10/10 17:27:00执行JOB一次
2017/10/10 17:28:00执行JOB一次
2017/10/10 17:29:00执行JOB一次
2017/10/10 17:30:00执行JOB一次
2017/10/10 17:31:00执行JOB一次
2017/10/10 17:32:00执行JOB一次
2017/10/10 17:33:00执行JOB一次
2017/10/10 17:34:00执行JOB一次
2017/10/10 17:35:00执行JOB一次
2017/10/10 17:36:00执行JOB一次
2017/10/10 17:37:00执行JOB一次
2017/10/10 17:38:00执行JOB一次
2017/10/10 17:39:00执行JOB一次
2017/10/10 17:40:00执行JOB一次
2017/10/10 17:41:00执行JOB一次
2017/10/10 17:42:00执行JOB一次
2017/10/10 17:43:00执行JOB一次
2017/10/10 17:44:00执行JOB一次
2017/10/10 17:45:00执行JOB一次
2017/10/10 17:46:00执行JOB一次
2017/10/10 17:47:00执行JOB一次
2017/10/10 17:48:00执行JOB一次
2017/10/10 17:49:00执行JOB一次
2017/10/10 17:50:00执行JOB一次
2017/10/10 17:51:00执行JOB一次
2017/10/10 17:52:00执行JOB一次
2017/10/10 17:53:00执行JOB一次
2017/10/10 17:54:00执行JOB一次
2017/10/10 17:55:00执行JOB一次
2017/10/10 17:56:00执行JOB一次
2017/10/10 17:57:00执行JOB一次
2017/10/10 17:58:00执行JOB一次
2017/10/10 17:59:00执行JOB一次
2017/10/10 18:00:00执行JOB一次
2017/10/10 18:01:00执行JOB一次
2017/10/10 18:02:00执行JOB一次
2017/10/10 18:03:00执行JOB一次
2017/10/10 18:04:00执行JOB一次
