启动成功2018/6/28 9:58:03执行JOB一次
2018/6/28 9:59:00执行JOB一次
发生异常页: http://localhost:12345/JXC/KPI_Sell.ASPX
异常信息: 在从服务器接收结果时发生传输级错误。 (provider: TCP 提供程序, error: 0 - 信号灯超时时间已到)2018/6/28 10:00:00执行JOB一次
2018/6/28 10:01:00执行JOB一次
2018/6/28 10:02:00执行JOB一次
2018/6/28 10:03:00执行JOB一次
2018/6/28 10:04:00执行JOB一次
2018/6/28 10:06:09执行JOB一次
2018/6/28 10:06:13执行JOB一次
2018/6/28 10:07:45执行JOB一次
启动成功2018/6/28 10:21:00执行JOB一次
2018/6/28 10:22:00执行JOB一次
2018/6/28 10:23:00执行JOB一次
2018/6/28 10:24:00执行JOB一次
2018/6/28 10:25:00执行JOB一次
2018/6/28 10:26:00执行JOB一次
2018/6/28 10:27:00执行JOB一次
2018/6/28 10:28:00执行JOB一次
2018/6/28 10:29:00执行JOB一次
2018/6/28 10:30:00执行JOB一次
2018/6/28 10:31:00执行JOB一次
2018/6/28 10:32:00执行JOB一次
启动成功2018/6/28 10:53:00执行JOB一次
2018/6/28 10:54:01执行JOB一次
2018/6/28 10:55:00执行JOB一次
2018/6/28 10:56:00执行JOB一次
2018/6/28 10:57:00执行JOB一次
2018/6/28 10:58:00执行JOB一次
2018/6/28 10:59:00执行JOB一次
2018/6/28 11:00:00执行JOB一次
2018/6/28 11:01:00执行JOB一次
2018/6/28 11:02:00执行JOB一次
2018/6/28 11:03:00执行JOB一次
2018/6/28 11:04:00执行JOB一次
2018/6/28 11:05:00执行JOB一次
2018/6/28 11:06:00执行JOB一次
2018/6/28 11:07:00执行JOB一次
2018/6/28 11:08:00执行JOB一次
2018/6/28 11:09:00执行JOB一次
2018/6/28 11:10:00执行JOB一次
启动成功2018/6/28 11:43:00执行JOB一次
启动成功2018/6/28 11:44:00执行JOB一次
2018/6/28 11:45:00执行JOB一次
2018/6/28 11:46:00执行JOB一次
2018/6/28 11:47:00执行JOB一次
2018/6/28 11:48:00执行JOB一次
2018/6/28 11:49:00执行JOB一次
2018/6/28 11:50:00执行JOB一次
2018/6/28 11:51:00执行JOB一次
2018/6/28 11:52:00执行JOB一次
2018/6/28 11:53:00执行JOB一次
2018/6/28 11:54:00执行JOB一次
2018/6/28 11:55:00执行JOB一次
2018/6/28 11:56:00执行JOB一次
2018/6/28 11:57:00执行JOB一次
2018/6/28 11:58:00执行JOB一次
2018/6/28 11:59:00执行JOB一次
2018/6/28 12:00:00执行JOB一次
2018/6/28 12:01:00执行JOB一次
2018/6/28 12:02:00执行JOB一次
2018/6/28 12:03:00执行JOB一次
2018/6/28 12:04:00执行JOB一次
2018/6/28 12:05:00执行JOB一次
2018/6/28 12:06:00执行JOB一次
2018/6/28 12:07:00执行JOB一次
2018/6/28 12:08:00执行JOB一次
2018/6/28 12:09:00执行JOB一次
2018/6/28 12:10:00执行JOB一次
2018/6/28 12:11:00执行JOB一次
2018/6/28 12:12:00执行JOB一次
2018/6/28 12:13:00执行JOB一次
2018/6/28 12:14:00执行JOB一次
2018/6/28 12:15:00执行JOB一次
2018/6/28 12:16:00执行JOB一次
2018/6/28 12:17:00执行JOB一次
2018/6/28 12:18:00执行JOB一次
2018/6/28 12:19:00执行JOB一次
