启动成功2017/8/17 17:44:00执行JOB一次
2017/8/17 17:45:00执行JOB一次
2017/8/17 17:46:00执行JOB一次
2017/8/17 17:47:00执行JOB一次
2017/8/17 17:48:00执行JOB一次
2017/8/17 17:49:00执行JOB一次
2017/8/17 17:50:00执行JOB一次
2017/8/17 17:51:00执行JOB一次
2017/8/17 17:52:00执行JOB一次
2017/8/17 17:53:00执行JOB一次
2017/8/17 17:54:00执行JOB一次
2017/8/17 17:55:00执行JOB一次
2017/8/17 17:56:00执行JOB一次
2017/8/17 17:57:00执行JOB一次
2017/8/17 17:58:00执行JOB一次
启动成功2017/8/17 17:59:00执行JOB一次
2017/8/17 18:00:00执行JOB一次
2017/8/17 18:01:00执行JOB一次
2017/8/17 18:02:00执行JOB一次
2017/8/17 18:03:00执行JOB一次
2017/8/17 18:05:13执行JOB一次
2017/8/17 18:05:13执行JOB一次
启动成功2017/8/17 18:06:00执行JOB一次
2017/8/17 18:07:07执行JOB一次
2017/8/17 18:08:00执行JOB一次
2017/8/17 18:09:00执行JOB一次
2017/8/17 18:10:17执行JOB一次
2017/8/17 18:11:00执行JOB一次
2017/8/17 18:12:00执行JOB一次
2017/8/17 18:13:00执行JOB一次
启动成功2017/8/17 18:15:12执行JOB一次
发生异常页: http://localhost:12345/KingdeeInvoice/WFInvoiceList.aspx
异常信息: “GO”附近有语法错误。启动成功2017/8/17 18:18:00执行JOB一次
2017/8/17 18:19:46执行JOB一次
发生异常页: http://localhost:12345/KingdeeInvoice/WFInvoiceList.aspx
异常信息: 对象名 'dbo.Invoice' 无效。2017/8/17 18:20:00执行JOB一次
启动成功2017/8/17 18:21:00执行JOB一次
2017/8/17 18:22:00执行JOB一次
2017/8/17 18:23:00执行JOB一次
2017/8/17 18:24:00执行JOB一次
2017/8/17 18:25:00执行JOB一次
2017/8/17 18:26:00执行JOB一次
2017/8/17 18:27:00执行JOB一次
