启动成功2018/7/13 10:23:00执行JOB一次
2018/7/13 10:24:07执行JOB一次
启动成功2018/7/13 16:42:00执行JOB一次
发生异常页: http://localhost:12345/JXC/JXCSum_SkilllList.ASPX
异常信息: DataBinding:“VAN_OA.Model.JXC.SumSkillTotal”不包含名为“Id”的属性。发生异常页: http://localhost:12345/JXC/JXCSum_SkilllList.ASPX
异常信息: DataBinding:“VAN_OA.Model.JXC.SumSkillTotal”不包含名为“Id”的属性。2018/7/13 16:43:00执行JOB一次
启动成功2018/7/13 16:44:00执行JOB一次
2018/7/13 16:45:00执行JOB一次
2018/7/13 16:46:00执行JOB一次
2018/7/13 16:47:00执行JOB一次
2018/7/13 16:48:00执行JOB一次
2018/7/13 16:49:01执行JOB一次
2018/7/13 16:50:00执行JOB一次
2018/7/13 16:51:00执行JOB一次
2018/7/13 16:52:00执行JOB一次
2018/7/13 16:53:00执行JOB一次
2018/7/13 16:54:00执行JOB一次
2018/7/13 16:55:00执行JOB一次
2018/7/13 16:56:00执行JOB一次
2018/7/13 16:57:00执行JOB一次
2018/7/13 16:58:00执行JOB一次
2018/7/13 16:59:00执行JOB一次
启动成功2018/7/13 17:00:00执行JOB一次
2018/7/13 17:01:00执行JOB一次
2018/7/13 17:02:00执行JOB一次
2018/7/13 17:03:00执行JOB一次
2018/7/13 17:04:00执行JOB一次
2018/7/13 17:05:00执行JOB一次
2018/7/13 17:06:00执行JOB一次
2018/7/13 17:07:00执行JOB一次
2018/7/13 17:08:00执行JOB一次
2018/7/13 17:09:00执行JOB一次
2018/7/13 17:10:00执行JOB一次
2018/7/13 17:11:00执行JOB一次
2018/7/13 17:12:00执行JOB一次
2018/7/13 17:13:00执行JOB一次
2018/7/13 17:14:00执行JOB一次
2018/7/13 17:15:00执行JOB一次
2018/7/13 17:16:00执行JOB一次
2018/7/13 17:17:00执行JOB一次
2018/7/13 17:18:00执行JOB一次
2018/7/13 17:19:00执行JOB一次
2018/7/13 17:20:00执行JOB一次
2018/7/13 17:21:00执行JOB一次
2018/7/13 17:22:00执行JOB一次
2018/7/13 17:23:00执行JOB一次
2018/7/13 17:24:00执行JOB一次
2018/7/13 17:25:00执行JOB一次
2018/7/13 17:26:00执行JOB一次
2018/7/13 17:27:00执行JOB一次
2018/7/13 17:28:00执行JOB一次
2018/7/13 17:29:00执行JOB一次
2018/7/13 17:30:00执行JOB一次
