启动成功2018/2/25 15:51:00执行JOB一次
2018/2/25 15:52:00执行JOB一次
2018/2/25 15:53:00执行JOB一次
2018/2/25 15:54:00执行JOB一次
2018/2/25 15:55:00执行JOB一次
2018/2/25 15:56:00执行JOB一次
2018/2/25 15:57:00执行JOB一次
2018/2/25 15:58:00执行JOB一次
启动成功2018/2/25 16:55:00执行JOB一次
2018/2/25 16:56:00执行JOB一次
2018/2/25 16:57:00执行JOB一次
2018/2/25 16:58:00执行JOB一次
2018/2/25 16:59:00执行JOB一次
启动成功2018/2/25 17:07:00执行JOB一次
2018/2/25 17:08:00执行JOB一次
发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。发生异常页: http://localhost:12345/BaseInfo/PaymentList.aspx
异常信息: 文件“/BaseInfo/PaymentList.aspx”不存在。2018/2/25 17:09:00执行JOB一次
2018/2/25 17:10:00执行JOB一次
2018/2/25 17:11:00执行JOB一次
2018/2/25 17:12:00执行JOB一次
2018/2/25 17:13:00执行JOB一次
2018/2/25 17:14:00执行JOB一次
2018/2/25 17:15:00执行JOB一次
2018/2/25 17:16:00执行JOB一次
2018/2/25 17:17:00执行JOB一次
2018/2/25 17:18:00执行JOB一次
2018/2/25 17:19:00执行JOB一次
2018/2/25 17:20:00执行JOB一次
2018/2/25 17:21:00执行JOB一次
2018/2/25 17:22:00执行JOB一次
2018/2/25 17:23:00执行JOB一次
2018/2/25 17:24:00执行JOB一次
2018/2/25 17:25:00执行JOB一次
2018/2/25 17:26:00执行JOB一次
2018/2/25 17:27:00执行JOB一次
2018/2/25 17:28:00执行JOB一次
2018/2/25 17:29:00执行JOB一次
2018/2/25 17:30:00执行JOB一次
2018/2/25 17:31:00执行JOB一次
2018/2/25 17:32:00执行JOB一次
2018/2/25 17:33:00执行JOB一次
2018/2/25 17:34:00执行JOB一次
2018/2/25 17:35:00执行JOB一次
2018/2/25 17:36:00执行JOB一次
2018/2/25 17:37:00执行JOB一次
2018/2/25 17:38:00执行JOB一次
2018/2/25 17:39:00执行JOB一次
2018/2/25 17:40:00执行JOB一次
2018/2/25 17:41:00执行JOB一次
2018/2/25 17:42:00执行JOB一次
2018/2/25 17:43:00执行JOB一次
2018/2/25 17:44:00执行JOB一次
2018/2/25 17:45:00执行JOB一次
2018/2/25 17:46:00执行JOB一次
2018/2/25 17:47:00执行JOB一次
2018/2/25 17:48:00执行JOB一次
2018/2/25 17:49:00执行JOB一次
2018/2/25 17:50:00执行JOB一次
2018/2/25 17:51:00执行JOB一次
2018/2/25 17:52:00执行JOB一次
2018/2/25 17:53:00执行JOB一次
2018/2/25 17:54:00执行JOB一次
2018/2/25 17:55:00执行JOB一次
