启动成功2018/5/1 14:25:00执行JOB一次
2018/5/1 14:26:00执行JOB一次
2018/5/1 14:27:00执行JOB一次
2018/5/1 14:28:00执行JOB一次
2018/5/1 14:29:00执行JOB一次
2018/5/1 14:30:00执行JOB一次
2018/5/1 14:31:00执行JOB一次
2018/5/1 14:32:00执行JOB一次
2018/5/1 14:33:00执行JOB一次
2018/5/1 14:34:00执行JOB一次
2018/5/1 14:35:00执行JOB一次
2018/5/1 14:36:00执行JOB一次
2018/5/1 14:37:00执行JOB一次
2018/5/1 14:38:00执行JOB一次
2018/5/1 14:39:00执行JOB一次
2018/5/1 14:40:00执行JOB一次
2018/5/1 14:41:00执行JOB一次
2018/5/1 14:42:00执行JOB一次
2018/5/1 14:43:00执行JOB一次
2018/5/1 14:44:00执行JOB一次
2018/5/1 14:45:00执行JOB一次
2018/5/1 14:46:00执行JOB一次
2018/5/1 14:47:00执行JOB一次
2018/5/1 14:48:00执行JOB一次
2018/5/1 14:49:00执行JOB一次
2018/5/1 14:50:00执行JOB一次
2018/5/1 14:51:00执行JOB一次
2018/5/1 14:52:00执行JOB一次
2018/5/1 14:53:00执行JOB一次
2018/5/1 14:54:00执行JOB一次
2018/5/1 14:55:00执行JOB一次
2018/5/1 14:56:00执行JOB一次
2018/5/1 14:57:00执行JOB一次
2018/5/1 14:58:00执行JOB一次
2018/5/1 14:59:00执行JOB一次
2018/5/1 15:00:00执行JOB一次
2018/5/1 15:01:00执行JOB一次
2018/5/1 15:02:00执行JOB一次
2018/5/1 15:03:00执行JOB一次
2018/5/1 15:18:44执行JOB一次
2018/5/1 15:19:00执行JOB一次
2018/5/1 15:20:00执行JOB一次
2018/5/1 15:21:00执行JOB一次
启动成功2018/5/1 16:02:00执行JOB一次
2018/5/1 16:03:00执行JOB一次
2018/5/1 16:04:00执行JOB一次
2018/5/1 16:05:00执行JOB一次
2018/5/1 16:06:00执行JOB一次
2018/5/1 16:07:00执行JOB一次
2018/5/1 16:08:00执行JOB一次
2018/5/1 16:09:00执行JOB一次
2018/5/1 16:10:00执行JOB一次
启动成功2018/5/1 16:12:00执行JOB一次
2018/5/1 16:13:08执行JOB一次
2018/5/1 16:14:02执行JOB一次
2018/5/1 16:15:00执行JOB一次
2018/5/1 16:16:00执行JOB一次
2018/5/1 16:17:00执行JOB一次
2018/5/1 16:18:00执行JOB一次
2018/5/1 16:19:00执行JOB一次
2018/5/1 16:20:00执行JOB一次
2018/5/1 16:21:00执行JOB一次
2018/5/1 16:22:00执行JOB一次
2018/5/1 16:23:00执行JOB一次
启动成功2018/5/1 16:31:00执行JOB一次
2018/5/1 16:32:00执行JOB一次
2018/5/1 16:33:00执行JOB一次
2018/5/1 16:34:00执行JOB一次
2018/5/1 16:38:14执行JOB一次
发生异常页: http://localhost:12345/JXC/CAI_Order.aspx?ProId=20&allE_id=29992&EForm_Id=207758
异常信息: 未将对象引用设置到对象的实例。2018/5/1 16:39:00执行JOB一次
发生异常页: http://localhost:12345/JXC/CAI_Order.aspx?ProId=20&allE_id=29992&EForm_Id=207758
异常信息: 未将对象引用设置到对象的实例。2018/5/1 16:40:00执行JOB一次
2018/5/1 16:41:00执行JOB一次
2018/5/1 16:42:00执行JOB一次
2018/5/1 16:43:00执行JOB一次
2018/5/1 16:44:00执行JOB一次
2018/5/1 17:15:44执行JOB一次
发生异常页: http://localhost:12345/JXC/CAI_Order.aspx?ProId=20&allE_id=29992&EForm_Id=207758
异常信息: 未将对象引用设置到对象的实例。启动成功2018/5/1 19:44:00执行JOB一次
2018/5/1 19:45:00执行JOB一次
2018/5/1 19:46:00执行JOB一次
2018/5/1 19:47:00执行JOB一次
发生异常页: http://localhost:12345/JXC/CAI_Order.aspx?ProId=20&allE_id=29992&EForm_Id=207758
异常信息: 未将对象引用设置到对象的实例。2018/5/1 19:48:00执行JOB一次
2018/5/1 19:49:00执行JOB一次
2018/5/1 19:50:00执行JOB一次
2018/5/1 19:51:00执行JOB一次
2018/5/1 19:52:00执行JOB一次
启动成功2018/5/1 20:14:00执行JOB一次
2018/5/1 20:15:00执行JOB一次
2018/5/1 20:16:01执行JOB一次
2018/5/1 20:17:00执行JOB一次
启动成功2018/5/1 20:23:04执行JOB一次
发生异常页: http://localhost:12345/JXC/CAI_Order.aspx?ProId=20&allE_id=29992&EForm_Id=207758
异常信息: 未将对象引用设置到对象的实例。2018/5/1 20:24:00执行JOB一次
启动成功2018/5/1 20:29:00执行JOB一次
2018/5/1 20:30:00执行JOB一次
2018/5/1 20:31:01执行JOB一次
2018/5/1 20:32:00执行JOB一次
2018/5/1 20:33:00执行JOB一次
2018/5/1 20:34:00执行JOB一次
2018/5/1 20:35:00执行JOB一次
2018/5/1 20:36:00执行JOB一次
2018/5/1 20:37:00执行JOB一次
2018/5/1 20:38:00执行JOB一次
2018/5/1 20:39:00执行JOB一次
2018/5/1 20:40:00执行JOB一次
2018/5/1 20:41:00执行JOB一次
2018/5/1 20:42:00执行JOB一次
2018/5/1 20:43:00执行JOB一次
2018/5/1 20:44:00执行JOB一次
2018/5/1 20:45:00执行JOB一次
2018/5/1 20:46:00执行JOB一次
2018/5/1 20:47:00执行JOB一次
2018/5/1 20:48:00执行JOB一次
2018/5/1 20:49:00执行JOB一次
2018/5/1 20:50:00执行JOB一次
