启动成功2018/1/24 21:50:02执行JOB一次
2018/1/24 21:51:00执行JOB一次
2018/1/24 21:52:00执行JOB一次
2018/1/24 21:53:00执行JOB一次
2018/1/24 21:54:00执行JOB一次
2018/1/24 21:55:00执行JOB一次
2018/1/24 21:56:00执行JOB一次
2018/1/24 21:57:00执行JOB一次
2018/1/24 21:58:00执行JOB一次
2018/1/24 21:59:00执行JOB一次
2018/1/24 22:00:00执行JOB一次
2018/1/24 22:01:00执行JOB一次
2018/1/24 22:02:00执行JOB一次
2018/1/24 22:03:00执行JOB一次
2018/1/24 22:04:00执行JOB一次
2018/1/24 22:05:00执行JOB一次
2018/1/24 22:06:00执行JOB一次
2018/1/24 22:07:00执行JOB一次
发生异常页: http://localhost:12345/EFrom/FundsUse.aspx?ProId=9
异常信息: 列名 'Phone' 无效。启动成功2018/1/24 22:09:00执行JOB一次
2018/1/24 22:10:00执行JOB一次
2018/1/24 22:11:00执行JOB一次
2018/1/24 22:12:00执行JOB一次
2018/1/24 22:13:00执行JOB一次
2018/1/24 22:14:00执行JOB一次
2018/1/24 22:15:00执行JOB一次
2018/1/24 22:16:00执行JOB一次
2018/1/24 22:17:00执行JOB一次
2018/1/24 22:18:00执行JOB一次
2018/1/24 22:19:00执行JOB一次
2018/1/24 22:20:00执行JOB一次
2018/1/24 22:21:00执行JOB一次
2018/1/24 22:22:00执行JOB一次
2018/1/24 22:23:00执行JOB一次
2018/1/24 22:24:00执行JOB一次
2018/1/24 22:25:00执行JOB一次
2018/1/24 22:26:00执行JOB一次
2018/1/24 22:27:00执行JOB一次
2018/1/24 22:28:00执行JOB一次
2018/1/24 22:29:00执行JOB一次
2018/1/24 22:30:00执行JOB一次
2018/1/24 22:31:00执行JOB一次
2018/1/24 22:32:00执行JOB一次
2018/1/24 22:33:00执行JOB一次
2018/1/24 22:34:00执行JOB一次
2018/1/24 22:35:00执行JOB一次
2018/1/24 22:36:00执行JOB一次
2018/1/24 22:37:00执行JOB一次
2018/1/24 22:38:00执行JOB一次
2018/1/24 22:39:00执行JOB一次
2018/1/24 22:40:00执行JOB一次
2018/1/24 22:41:00执行JOB一次
2018/1/24 22:42:00执行JOB一次
2018/1/24 22:43:00执行JOB一次
2018/1/24 22:44:00执行JOB一次
2018/1/24 22:45:00执行JOB一次
2018/1/24 22:46:00执行JOB一次
2018/1/24 22:47:00执行JOB一次
2018/1/24 22:48:00执行JOB一次
2018/1/24 22:49:00执行JOB一次
2018/1/24 22:50:00执行JOB一次
2018/1/24 22:51:00执行JOB一次
2018/1/24 22:52:00执行JOB一次
2018/1/24 22:53:00执行JOB一次
2018/1/24 22:54:00执行JOB一次
2018/1/24 22:55:00执行JOB一次
2018/1/24 22:56:00执行JOB一次
2018/1/24 22:57:00执行JOB一次
2018/1/24 22:58:00执行JOB一次
2018/1/24 22:59:00执行JOB一次
2018/1/24 23:00:00执行JOB一次
开始-客户联系跟踪表结束-客户联系跟踪表2018/1/24 23:01:00执行JOB一次
2018/1/24 23:02:00执行JOB一次
2018/1/24 23:03:00执行JOB一次
2018/1/24 23:04:00执行JOB一次
2018/1/24 23:05:00执行JOB一次
2018/1/24 23:06:00执行JOB一次
2018/1/24 23:07:00执行JOB一次
2018/1/24 23:08:00执行JOB一次
2018/1/24 23:09:00执行JOB一次
2018/1/24 23:10:00执行JOB一次
2018/1/24 23:11:00执行JOB一次
2018/1/24 23:12:00执行JOB一次
2018/1/24 23:13:00执行JOB一次
2018/1/24 23:14:00执行JOB一次
2018/1/24 23:15:00执行JOB一次
2018/1/24 23:16:00执行JOB一次
2018/1/24 23:17:00执行JOB一次
2018/1/24 23:18:00执行JOB一次
