启动成功2018/9/8 20:09:02执行JOB一次
2018/9/8 20:10:00执行JOB一次
2018/9/8 20:11:00执行JOB一次
2018/9/8 20:12:00执行JOB一次
2018/9/8 20:13:00执行JOB一次
启动成功2018/9/8 20:17:00执行JOB一次
2018/9/8 20:18:00执行JOB一次
2018/9/8 20:19:00执行JOB一次
2018/9/8 20:20:00执行JOB一次
2018/9/8 20:21:00执行JOB一次
发生异常页: http://localhost:12345/KingdeeInvoice/WFPayableList.aspx
异常信息: 在 sys.servers 中找不到服务器 'KIS'。请验证指定的服务器名称是否正确。如果需要，请执行存储过程 sp_addlinkedserver 以将服务器添加到 sys.servers。2018/9/8 20:22:00执行JOB一次
2018/9/8 20:23:00执行JOB一次
2018/9/8 20:24:00执行JOB一次
2018/9/8 20:25:00执行JOB一次
2018/9/8 20:26:00执行JOB一次
2018/9/8 20:27:00执行JOB一次
2018/9/8 20:28:00执行JOB一次
2018/9/8 20:29:00执行JOB一次
2018/9/8 20:30:00执行JOB一次
2018/9/8 20:31:00执行JOB一次
启动成功2018/9/8 20:32:00执行JOB一次
2018/9/8 20:33:00执行JOB一次
2018/9/8 20:34:00执行JOB一次
2018/9/8 20:35:00执行JOB一次
2018/9/8 20:36:00执行JOB一次
2018/9/8 20:37:00执行JOB一次
2018/9/8 20:38:00执行JOB一次
2018/9/8 20:39:00执行JOB一次
发生异常页: http://localhost:12345/KingdeeInvoice/WFPayableList.aspx
异常信息: 对象名 'KingdeeInvoice.dbo.Payable' 无效。2018/9/8 20:40:00执行JOB一次
2018/9/8 20:41:00执行JOB一次
2018/9/8 20:42:00执行JOB一次
2018/9/8 20:43:00执行JOB一次
2018/9/8 20:44:00执行JOB一次
2018/9/8 20:45:00执行JOB一次
2018/9/8 20:46:00执行JOB一次
2018/9/8 20:47:00执行JOB一次
2018/9/8 20:48:00执行JOB一次
2018/9/8 20:49:00执行JOB一次
2018/9/8 20:50:00执行JOB一次
2018/9/8 20:51:00执行JOB一次
2018/9/8 20:52:00执行JOB一次
2018/9/8 20:53:00执行JOB一次
启动成功2018/9/8 20:54:00执行JOB一次
2018/9/8 20:55:00执行JOB一次
2018/9/8 20:56:00执行JOB一次
2018/9/8 20:57:00执行JOB一次
2018/9/8 20:58:00执行JOB一次
2018/9/8 20:59:00执行JOB一次
2018/9/8 21:00:03执行JOB一次
2018/9/8 21:01:00执行JOB一次
2018/9/8 21:02:00执行JOB一次
2018/9/8 21:03:00执行JOB一次
2018/9/8 21:04:00执行JOB一次
2018/9/8 21:05:00执行JOB一次
2018/9/8 21:06:00执行JOB一次
2018/9/8 21:07:00执行JOB一次
2018/9/8 21:08:00执行JOB一次
2018/9/8 21:09:00执行JOB一次
2018/9/8 21:10:00执行JOB一次
2018/9/8 21:11:00执行JOB一次
2018/9/8 21:12:00执行JOB一次
2018/9/8 21:13:00执行JOB一次
2018/9/8 21:14:00执行JOB一次
2018/9/8 21:15:00执行JOB一次
2018/9/8 21:16:00执行JOB一次
2018/9/8 21:17:00执行JOB一次
2018/9/8 21:18:00执行JOB一次
2018/9/8 21:19:00执行JOB一次
2018/9/8 21:20:00执行JOB一次
2018/9/8 21:21:00执行JOB一次
2018/9/8 21:22:00执行JOB一次
2018/9/8 21:23:00执行JOB一次
2018/9/8 21:24:00执行JOB一次
2018/9/8 21:25:00执行JOB一次
2018/9/8 21:26:00执行JOB一次
2018/9/8 21:27:00执行JOB一次
2018/9/8 21:28:00执行JOB一次
2018/9/8 21:29:00执行JOB一次
2018/9/8 21:30:00执行JOB一次
2018/9/8 21:31:00执行JOB一次
2018/9/8 21:32:00执行JOB一次
